artist;title
Mariah Carey;All I Want For Christmas Is You
Brenda Lee;Rockin' Around The Christmas Tree
Bobby Helms;Jingle Bell Rock
Burl Ives;A Holly Jolly Christmas
Adele;Easy On Me
Andy Williams;It's The Most Wonderful Time Of The Year
Wham!;Last Christmas
Jose Feliciano;Feliz Navidad
The Kid LAROI & Justin Bieber;Stay
The Ronettes;Sleigh Ride
Nat King Cole;The Christmas Song (Merry Christmas To You)
Dean Martin;Let It Snow, Let It Snow, Let It Snow
Kelly Clarkson;Underneath The Tree
Lil Durk Featuring Morgan Wallen;Broadway Girls
Glass Animals;Heat Waves
Darlene Love;Christmas (Baby Please Come Home)
Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra;It's Beginning To Look A Lot Like Christmas
Ariana Grande;Santa Tell Me
Gene Autry;Rudolph The Red-Nosed Reindeer
Andy Williams;Happy Holiday / The Holiday Season
Bing Crosby;White Christmas
Lil Nas X & Jack Harlow;Industry Baby
Ed Sheeran;Shivers
Doja Cat;Need To Know
Chuck Berry;Run Rudolph Run
Kodak Black;Super Gremlin
GAYLE;abcdefu
Perry Como With Mitchell Ayers And His Orchestra;(There's No Place Like) Home For The Holidays (1959)
Elton John & Dua Lipa;Cold Heart (PNAU Remix)
Michael Buble;It's Beginning To Look A Lot Like Christmas
Ed Sheeran;Bad Habits
Silk Sonic (Bruno Mars & Anderson .Paak);Smokin Out The Window
Frank Sinatra;Jingle Bells
Thurl Ravenscroft;You're A Mean One, Mr. Grinch
Eartha Kitt With Henri Rene And His Orchestra;Santa Baby
Paul McCartney;Wonderful Christmastime
Vince Guaraldi Trio;Linus And Lucy (Peanuts Theme)
Olivia Rodrigo;Good 4 U
Justin Bieber;Ghost
Eagles;Please Come Home For Christmas
Jackson 5;Santa Claus Is Comin' To Town
SZA;I Hate U
The Beach Boys;Little Saint Nick
Justin Bieber;Mistletoe
Walker Hayes;Fancy Like
Nat King Cole;Deck The Halls
Michael Buble;Have Yourself A Merry Little Christmas
Vince Guaraldi Trio;Christmastime Is Here
Lil Nas X;Thats What I Want
Post Malone & The Weeknd;One Right Now
Billie Eilish;Happier Than Ever
CKay;Love Nwantiti (Ah Ah Ah)
Drake Featuring 21 Savage & Project Pat;Knife Talk
Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter;Thinking 'Bout You
Ed Sheeran & Elton John;Merry Christmas
NEIKED X Mae Muller X Polo G;Better Days
Adele;Oh My God
Drake Featuring Future & Young Thug;Way 2 Sexy
Jordan Davis Featuring Luke Bryan;Buy Dirt
THE ANXIETY: WILLOW & Tyler Cole;Meet Me At Our Spot
Chris Stapleton;You Should Probably Leave
