title;artist;filename;lyrics
(It) Feels So Good ; Steven Tyler;(It) Feels So Good by Steven Tyler.txt;doin swear ow need bit somethin freak little oxygen world excusez-moi good dare week la heaven real way friend summertime bonsoir walk time long girl still twenty-four-seven feel cupid goin remember everything yeahembed love crazy super room mind double ah kind enough hey mine day cool smell change lock hair
11 ; Beyonce;11 by Beyonce.txt;cup swear bout mad stand twice put wave nefertiti drop translationsportugues/ drank legs kinky ya care dashiki tippin hold shoulder trick spin wee bikini freaky spinnin hand dice thinkin rollin smack seven fresh around press dye girl sideways side clap deaky alcohol rock feel movin kick sweatin bb flexin eleven never kufi pink foot air blow edge tryna ohembed man think
21st Century Girl ; WILLOW;21st Century Girl by WILLOW.txt;gas rebel pull give type break live beautiful world diamond gold upembed song boundary us mile inch century heart new start walk owwwww ride girl side chick step smile rock second bear promise feel restriction set st class knock danger rule beauty mission guess life kind path thinking face foot dream beat edge choose soul wild
5 OClock ; T-Pain;5 OClock by T-Pain.txt;ah-ah-ah right damn clock naked whoa remind im nuvo last put club babe texting themthat send voice thought lonely wake thirsty ugh oclock plug youthat check ya chain song us morningembed sun bedroom bad bed baby talk would dont way call me-ee every t-shirt head stay ask hear conversation wo find around thing time sleep girl creep want always ive best worry sneak hit car ayy feel yawn dresser boring sure less since stall iphone morning stair house drink kindly crib hop close perform kill show love texts-es crazy soon oh-oh pretend already finish female ah goodnight nah-nah-nah miss leave wait sing boy youre night cell nothing many keep floor wall horny phone trip kindly-y hahahahaha mad home
6 Foot 7 Foot ; Lil Wayne;6 Foot 7 Foot by Lil Wayne.txt;doin right six-foot disturb jump woman abroad cold world weezy father ya pat real flow behind would mean middle strong shout king dramamine shooter steady girl want tomorrow add side runner-up feel without black sweet adultery commissioner peace goin tune animal close action swagger kiss mind life mouth translationsenglish pack satisfied relation runnin tryna scuba eatin wish young sequin segregation stand cause ruler pause chasin lasagna buck sister honey shootin diamond stop gelatin twist ball peanut buyin g foreign enigma urinal thoroughbred deadbolt gun borderline around patricia sleep sharp word hit glow bunch kinda field somewhere charisma marry could outside fish empty look mom wayne kill subject crazy death soon sorta eight-foot guess sam nothin grind miss celebration play many dream glass spritzer swimmer blow cool fuck man hotter try tuck understand spill shit ratchet bodybuilder misunderstood turn put mackin little f run okay drama queen seven-foot vodka bold salt light gunnaembed cut flash people half lima predicate call luda jaw nigga heart head son funeral elephant lose still lil niggas cash money killer end outfielder pow fruit swag love open labor ho dumber seein behalf piece talkin never bx full foot hoe silence pocket cuba think heard swear tunechi scream finisher move break name uptown he-man paper nut yo white consultant game bean speech mover bitch mother front playin visit blame fuckin buddha sun militia ghana backin ripe talk speak motherfucker excuse hater truth flo start wishin matter find time sign llama self-defense mama family fee enjoy throwin synchronize ahem strand two picture tammy fiend nature cousinwhat language sentence summer tuna enough back mink stackin high keep wall beat meet day laugh
9 Piece ; Rick Ross UNCERTAIN;9 Piece by Rick Ross UNCERTAIN.txt;sell quote tunechi snort bird ballsembed brick im solo outta florida ferrari road buy woman put white send charles g-mix blast monroe hard low bottom bitch front gold ya price ball rack dead ymcmb platinum teflon trick mjg talk mean call custys def hundred nigga proof awol head new around pistol soft whip huh girl sir dope box step still word lil doe ray sweet napalm bullet iphone mexican house suave look water living marilyn room hd tan kiss piece zones double smoke shoe screen leave automatic four perico jam flat key -seater pack full straight cell hoe smoking blow phone contract pool spend table crumb fuck distribution fell chip independent shit
A Little Bit Stronger ; Sara Evans;A Little Bit Stronger by Sara Evans.txt;even stupid overnight teeth minute brush bit ridin turn hour month put tellin little radio drag good wake okay pain song givin work baby today spinnin weak gettin anyway ignore heart strong late wheel longer along around sting smile second ever still busy car feel without tryin lettin listen could realize happen mess hurt never hey face another cry dress day change think
A Thousand Years ; Christina Perri;A Thousand Years by Christina Perri.txt;darling fall stand alone afraid hour anything lyrics front color suddenly brave closer would every heart along find time somehow moreembed translationsa step still promise year die away doubt beauty love fast breath believe bring wait thousand watch beat day
A Year Without Rain ; Selena Gomez;A Year Without Rain by Selena Gomez.txt;glad minute star need whoa missin voice world survive stick rain catch desert baby much every heart underneath hear callin wo matter find around time explain always help side yearn ocean wonder feel without save year end empty place dry ground love breath monsoon crumblin oh-oh drought mind life wanderin waste mirage back thousand face flower foot runnin ooh-ooh day hurry think
ABC ; Glee Cast;ABC by Glee Cast.txt;easy dear teach bit kurt c tree little reading shake e nah baby root naah seat mi abc plus spell thing girl add sit oooh quinn without complete write learn except listen two arithmetic branch buh-buh t-t-t-teacher show love melody simple repeat education learning never school sing count mike buh ta think
