title;artist;filename;lyrics
1234 ; Feist;1234 by Feist.txt;changin cart alive apart ten eye cozy hope buy put cold little scar woo-ooh boys three teenage heart old heartyou long want five door horse youth bitterheart money nine lie breakin two sleepless six love oh-oh tear leave four back night nothing sweetheart
3 Peat ; Lil Wayne;3 Peat by Lil Wayne.txt;even right baby-mother espn fool suck need kidnap fall throw ladder give young c hitler shoot fix orleans put supper white shuttle thought hood cita game weezy good run bitch handle spit stop ball stuart a-fuckin peat however baby carter taste grow dick suffer would clique -see swallow tv inch nigga bounce adam three maestro defeat new old channel son fresh hair time doctor level girl want hollygrove mama yessir hahahah lose ever word traffic -peat tonight money sure die could nightmare duffled retreat uppercut house two shop sandler unless place gut million fourteen poppin tha viagra mom everything must-see crazy hip-hop sitting ho sportscenter tear abracadabra exactly scott forever lip nasty hill enough never miss bring magic back motherfuck control night straight another nothing casket keep cry watch beat grandmother day table fuck accord try space shit
4 Minutes ; Madonna;4 Minutes by Madonna.txt;right least breakdown minute ow need move give outta a-four road worldembed world pick good line ha handle pave real way translationsportugues fikki grab time sign girl want somebody uh hell word stroll slow aye feel save tonight roll die intention pri-hey-madonna hop show mmm speed sometimes room already ah waste enough ready tock hey wait four madonna boy tick intervention keep heh must hesitate ta think
7 Things ; Miley Cyrus;7 Things by Miley Cyrus.txt;probably alright sincere need dear delete ooh-ooh-ohembed act eye standin jerk vain buy hate share sha game clear scared care rain la would previous mean hand friend great ooh-ooh-ooh-ooh relationship compare old hear seven insecure thing time long text side step lose ooh-ooh-ooh ever write apology mention awesome everything love comin hurt kiss guess intertwine believe hypnotize wait silent awkward back nothing mine cry possible seventh change think laugh hair
A Little Bit Longer ; Jonas Brothers;A Little Bit Longer by Jonas Brothers.txt;time even doctor cure smile news still bit glow today feel wait sure every none high little kingdom stay fineyou longer low reason think laugh fine
A Milli ; Lil Wayne;A Milli by Lil Wayne.txt;rather even tablet damn flame pay coupe eat coke minute pen millionaire name young daughter c stand derriere loose tough turn hour thin redenbacher surprise menstrual hate owe cause orville dancin world gwen problem weezy drop mower bowel sister mountain dig okay bitch cracker father bible stop bleed catch pop dare us jay near carter tony would swallow fair brother motherfucker call every rappin shy nigga criterion hopin lowrey shit compare ill nobody bridge ask badu stefani bic sick hear career mack son bullshit fear maserati andre ha-ha-ha-ha time long girl want venereal sour ch-cha-cha-cha-chopper pussy rock second pac lil feel beast without write lamborghini money garden nigerian sidekick trickin dog could illy two milli faggot scarin million look peatembed pencil bangladesh rule wayne leak answer shower private copper open mother-fuck chrome rodman goon doubt glock disease mind lawn life sheet crack smoke dennis lip nothin mop bastard never b.i.g. mr. thick dollar sharin erykah boy vowel flower play knot sicilian many mike keep almighty watch air pushin power beat pokin mothafuckin man goblin true change smell hair
Addicted ; Saving Abel;Addicted by Saving Abel.txt;something sound turn hate unlike anything addict every rough youembed walk bullshit thing time girl slow end away love breath sheet spend tryna ta think
All Around Me ; Flyleaf;All Around Me by Flyleaf.txt;alive tongue secret savor give music alone white use angel singing run thicken fade hold light behind would hand fingertip sway heart fire around holy heal search feel whisper outstretched begin towards place healing love healedembed believe dance burning lip never leave onto float breathe cry air arm
All I Ever Wanted ; Chuck Wicks;All I Ever Wanted by Chuck Wicks.txt;early em star maybe really likewe hood ring tight ya song hold light baby way hand twirl ill youembed walk ride time sleep girl want spring ever car tonight wear meadow favorite picture moon drive look kick love yea mind life believe chance ready sing sundress night mine feeling cuz day pale true think understand
All I Want To Do ; Sugarland;All I Want To Do by Sugarland.txt;list even whole disturb ladder give cover really turn put little world hide wake work ooo baby today talk hang anyway make-up ..... matter ...... thing sign want door climb word lazy without please elvis morning away drive look close love crazy kiss to-do life lip waste miss lay phone day change
