title;artist;filename;lyrics
1 ; Nelly UNCERTAIN;1 by Nelly UNCERTAIN.txt;morphin shady j.j. lemonade tongue maybe order simply outta pace fuse really music tough chunky woman killin piano earnhardt pupil kryptonno odin superhuman maintainin gene ugh ha-ha hall ya pop dead pill masterfully pat bad scribble rap pissin common mean monica eliminate pharoahe though nobody fact channel king fight walk seven rapper skill-a-holic want add everybody f-bombs fab ray feel ricochetin elevate brat robot away dre doberman speed happen hip-hop ak- special nuisance backpack mind burst life crack kneel levitate struggle nice chicken lemon mistake thaiportuguesitalianodeutschfrancaisespanolcymraegrap ren brutal attempt knot acrobat slap rude bomb noodle normal cable table wack fell n.w.a ta case even something pay columbine easy fame pen lyrical fad celebrate inspire give asgard glue aftermath fading hate league gay ironic wake clinton line anything mainstream pinch ball song lunchtime suppose work doc mathers gay-lookin elevator grow lookin church disastrously shock future truthful translationsturkce bananas thinkin seat new ill accolade homage wheel track around rippin dooma-lumma sleep dale trash rappity alcohol bake word hit shabazz rubber roll packin cornrows sure nod park somewhere since flock underground consideration cake could thank doodle product vehicle bitter computer look earth fatal realize mom keepin unsigned show kill rhyme immortal lewinsky comin rap-bot curtain batter stunt nothin grind period match yackety-yack wait brung straight play nothing able many nascar may blow feeling label gather fuck man arm rapunzel try boyz ramen shit sacrifice understand least inadvertently flame position secret need indecent throw omnipotent buy shoot verse put planet practicin use mass-occur yella little youthful occur half-cock eazy good mac construct god pad feelin censor appeal people half fat way .kembed call raygun every summa-lumma confuse head hella station havin wrong racin discrimination mc pointless rodent murder motherfuckin help broad actually box general askin lose hatred syllable livin ever still pac oy hurtin zod motivate combine skill student fucking sympathetic satan immediately bumpin funky portal lp j bus innovative fabolous poodle faggot moon jealous punchlines everything devil love tug profit versus sometimes revolver hurt couple lead fag singin flunky chance talkin retardbe never overseas school demonstrate heavy key full immortality cube mine pocket utilize slim must prove think mad honesty walkin minute big exact fall break supersonic rage human white vacation futile angel radio junkie zombie masterpiece thor game drop honest trouble attack vey hard front color stick tongue-in-cheek barely fuckin skin exuberance asteroid situation nutsack bill speak dippity-hippity rund.m.c. root rough next hungry trailer crap wrath warp assumin ask hater yap-yap lakim find virgin time shame plank sign long devastate maxi phasa office induct hell uh beginnin patient kid rock mayweather crunch write laptop handin audience scratch place capable monch honestly million six pew bully witnessin thumb flippity basically forever enough hey back boy face drunk keep rakim watch wall day meet trip
7 Days ; Craig David;7 Days by Craig David.txt;something damn deal david sunday cinnamon need deny monday break name number chill stand live really tuesday alone hope beautiful digit decline hmm quarter date cost bottle rendezvous ring honey craig endless front queen check subway care moet real baby way lady fair call friday three friend first chat ask start walk update block around thing time thursday long girl tomorrow always plenty past saturday unfold impression feel body flip sure nine since keen could two wednesday away drink look six kick love fine oh-oh special couple mind kind talker wait back age twenty-four night seem play smooth mine phone pretty day meet man must ta think home
911 ; Wyclef Jean;911 by Wyclef Jean.txt;meembed doin right piercin need big pull messin break eye blige tough turn trap wyclef shoot yo cold shot use problem pick allege acoustic worth trouble anything hard low losin serenade prisoner guitar care dare understand light feelin someone real would call every gettin blood next heart old fight havin lord matter around time girl want folk five always fellas chick worry assailant wonder feel body tonight please j. bullet mary cop sayin j look police mom love warn death breath sometimes tear life kind favor four sing night foot wall phone day man soul reveal think home sacrifice
A Good Day To Run ; Darryl Worley;A Good Day To Run by Darryl Worley.txt;gas need move throw dayembed last vacation pray good trouble clear run tank song catch sun work baby destination today wide way every worrying blue station wo conclusion thing time long past illusion write year tire grand sure two-lane morning favorite place look fast sky collar open choke mislead never dollar play cashier wind day highway
A Little Gasoline ; Terri Clark;A Little Gasoline by Terri Clark.txt;west bye-bye need push give gear road last put window fume little run shoebox third baby sorry talk way till string left heart head test old shout wrong wo rest likewhat time long circle word angry feel lie picture gasoline look view lyricsthrowing love tear gasolineembed mind burning never back machine full pack dream wind blow scatter letter think
A Long Walk ; Jill Scott;A Long Walk by Jill Scott.txt;company humble eat onembed maybe upstream chill really tree movie put share good squeaky dig relaxation suppose us baby situation talk root plus elation blue free swim king walk conversation elevation lord find around supreme long temptation verbal mercy spark phat smile nation saturday feel save roll respect peace park clean listen could blind fruit everything pleased cruise background sometimes numb passion education psalm winner stimulation surah bring mentality silent style revelation sinner breeze foot play symphony cry dark feeling entirety man soul spot saint shit
A Womans Worth ; Alicia Keys;A Womans Worth by Alicia Keys.txt;right read need bubble deny give refuse buy last woman bath put world worth good line run diamond song hold light mm-mmm uh-uh real baby mile do-do-do-di-di-di-di tenderly do-ooh dinner bluff rough first shit spell do-do hear walk wrong find around time always uh candle lose smile promise please fairly cherish could mm-hmm show love cruise passion grant mm-hm never ohh pearls sing sibba-dibba play dough nothing treat keep ooh-ooh value choose man true mm
After Party ; Koffee Brown;After Party by Koffee Brown.txt;right chemistry ice music hope rockin cause little top drop stop ish thang hold feelin baby talk would felt stay start lyin ride slide thing time girl welcome want inside rock thigh flip sweet somewhere deep cake look mind finish dance goodnight enough party back boy keep floor lovin rise beginning ta
Again ; Lenny Kravitz;Again by Lenny Kravitz.txt;right time long againembed gift always wherever somebody within door life win search ever love heaven wonder break forever quite never without would throne every sacred worse could upon cry yearning lonely good king hear walk day soul queen
Aint Nothing Bout You ; Brooks;Aint Nothing Bout You by Brooks.txt;list tattoo something alive bout move lips thought surrender aint baby much talk way part every heart walk tease hammer girl smile feel perfect attitude deep could knock drive look everything love kiss passion life dance enough never reaction heavy foot nothing yearning cry touch blow rise ta mystery think laugh
