title;artist;filename;lyrics
(Do The) Push And Pull Part I ; Rufus Thomas;(Do The) Push And Pull Part I by Rufus Thomas.txt;easy lyricshey round likei push bit pull james little hoembed rufus brown care baby talk part hand hundred left new around brand candy thing bull everybody clean listen lookie mess ho double ah dance business lay town full upon floor mister pretty
(Dont Worry) If Theres A Hell Below Were All Going To Go ; Curtis Mayfield;(Dont Worry) If Theres A Hell Below Were All Going To Go by Curtis Mayfield.txt;laying law a-cussing fool jew read need actor partly really balling nigger turn last put educate billing use pray mass top good sister run jury judge cracker theres bible pill people talk dont would way brother call flaw uneducated likeeverybody lord pimp around time hell dope everybody nixon worry feel black pollute peace could whitey fuss depressed dictate water police rule everything show book kill love everyday cat life smoke kind backer straighten school ought willing political revelation whiteys night keep pool true hurry
(For Gods Sake) Give More Power To The People ; The Chi-lites;(For Gods Sake) Give More Power To The People by The Chi-lites.txt;right eat glad alibi whatever throw give ohoho crime hate ghost tellin world starvin run satisfy lyricsfor god care price givin us cut people happiness hoggin likefor hear guilty thing time livin holler promise money throwin lie misery begin away everything kill love death sake enough never dollar back jive power makin think
(I Can Feel Those Vibrations) This Love Is Real ; Jackie Wilson;(I Can Feel Those Vibrations) This Love Is Real by Jackie Wilson.txt;even whole glad deny jump world ooohh ohhh care real baby wee friend preacher heart shout start walk conversation wrong lord find thing huh girl want always plan inside oww feel vibration please deep listen love wherever magic meet small man makin think understand
(I Know) Im Losing You ; Rod Stewart;(I Know) Im Losing You by Rod Stewart.txt;fool im name eye woman cold woohoo bone honey ya fade someone grow speak reflection lord long girl lose worry feel downhearted presence woo everywhere could away place look youyou personal else love hurt growin face control another air touch belong day man soul
(Shes A) Very Lovely WomanThe Long Way Around ; Linda Ronstadt UNCERTAIN;(Shes A) Very Lovely WomanThe Long Way Around by Linda Ronstadt UNCERTAIN.txt;rather pork stuff right whither company instead stupid stone alive alright tongue woe funny summon b basement maybe dear stranger evildoer whoa dy sent corner village fail ensues mystic jump sound simply atop live really strike tough chase crono twice woman quickly thee voice amulet world top truly kingdom err swing guard area hide exit restore lass janus hall wh cursed care keeper rain dead dare rare near nest saw bedroom bad energy real bed continent useless pass much would behind thief mean mere flashback entire luck roar strange fortunately obey ranking though release fate rescue stay strong b.c old golem late fact ..... fight king hideous ala walk along soup form diversion spineless stain perish want explain tomorrow best side tadpole plan worry liar choice selection ocean lavos feel suffering without prophet black spiral hic sponge aim learn depart reptite ozzie awesome tummy reptile begin retreat tune north besides n loud polywog away spoke kick close separate doubt stream sad cooperate explore fast sky happen schala grr room special stake zieber kiss disappear already life urghhhhhh female p sort dance aaah correct lend cyruuuus return presume several final blue-haired four float neuga throne chosen jam bound cruel age a.d. create machine night battle charge breeze safety repair regret silly resides lightning object table choose delay fell aggressive warrior hurry even outnumbered something pay cave eat fool shut knight ice sword wish hut exterminate void lair marle give multiple shelter doth protect cover stand haired alone last member later mayhap play thy shot cause zzzz weapon present villa wake gate mountain line bone hath honey forget enlist intensely enter slay stop fade suppose immediate glenn hold g work engrave absorb la continue grow allow lyricsscene medal lady shock weak brother future anyway forthwith lovely arrives left great red art new goodness local monster bridge comedian blue fire block masamune kiiiiiiiiiiiiiiiiiino fear around conclusion en join hero sleep careful welcome tad impossible tasty always sharp hmph inside settle spark door short eh transport prepared hit froggy busy summons word zom frog year roll rush aaaaack tire please reinforcement sure field perfect appear mwa since entrance deep cake lie blurry could thank oweth bitter ruin look earth oops usher timewarp realize dreamstone remember rip lucca kill show else dreadful harharhar others meddling yet ziena death soon dolt seal mountains/ ok. plain finish destroy print steal toss different bay screen ready guy miss laruba bring arrive business wait onto goner augh party knee completely o_o control seem froggie dome crew nothing another bowl able many wimp numbered safe r dream thou courage may power blow pretty arrgh small cool man mythical true try change slowly space understand treat creepy flame poor mammon teeth dactyl star snort solid follow need dim whether beg push slightly throw anytime denadoro loosen dialogue finally c greets prison trigger yes turn entrust afraid hope buy fix put beautiful fiery use race ok thought little kino east square highness lonely good th run blue-hair okay ha boney aid survive queen curious ordinary exist castle swat blonde inner cavewoman within light jurassic smart win suddenly someone helpless person cut heaven flash today people burrow almost way part massive call journey crest nizbel reader whoever defeat fit head heart vanishes spell land hmmm payback wrong green ack main ride ...... immense shift instantly hast huh help sir become spared unngaaa lose dalton swordsman base ever still phew slow a.d promise body beast bell everyone spare set respect presence south immediately end portal asks princess course absolutely garde amiss showdown amphibian hop chamber evil ground ash everything fitting love slush job grit warn open awaken ho beware hurt prepare aside cat lead er unbelievable eventually pas chrono ah magus kind burning escape path chance foreigner giant fiona barrier leave azala prophesizing thanks sing yummy forgive key full cell foot yaaawn reform floor mine breathe burned wind suspend fellows advance must ayla think bust happy deal maze meteor obvious sniffle magician exchange hmmmph bet purple big urghhhhhhh fall male ponder break scaly name pillar duty unscathed tree trap nearby scantly lever thrill chief send harumph oz punch hmm dinosaur sha guardia pick filthy game ancient triceratops drop honest trouble attack necessary event lot mother prisoner stick ioka visit vos shriek us burrp scorch gradually flicking landing melchior carry forest icon easily closer sorry badge talk men leader speak group slash hand elsewhere bbburp knowest excuse mellow three serious fun friend stance reach ape first unknown next replacement lately primate warp delicious ask challenge quiet soldier start hear effect pendant wo matter either find rest thing time whip script burn sign long marshmallow bat together leene grribit aaahhhh uh punish step plenty rock nirvana kid bravely majesty pardon .. cometh quite fault save crash burnt skirmish enjoy cyrus w tyrano reptites villager idiot graaaack listen die morning ii oppose two visible favorite honor drink place huge cliff mechanism fill rule ensue fly mess scene gyah aaahhh capture dad bringing health dangerous frantically footprint guru forever science slimy palace gain enough wood fest freeze hey awake shall fireball default curse back boy high rob keep wall air dark beat better reforge dress meet day difference flea beginning laugh hair
(Theme From) Love Story ; Henry Mancini;(Theme From) Love Story by Henry Mancini.txt;b need theme give imaginings hour last angel world lonely song much till story hand measure reach great first meaning heart old truth along start sea thing time burn long always sweet lyricswhere could begin empty away fill living answer love fine special simple life never bring another mine day anywhere soul wild h
(Where Do I Begin) Love Story ; Andy Williams;(Where Do I Begin) Love Story by Andy Williams.txt;star need give thereyou imaginings hour last angel world lonely song much till story measure reach great first meaning heart new old truth start sea around thing time burn long always hand-it hello sweet lyricswhere could begin empty away fill living answer love fine special simple life never bring another mine day anywhere soul wild
13 Questions ; Seatrain;13 Questions by Seatrain.txt;thirteen sore wish lyricsdeep throw eye terror hour hope last chinese hardly earthman exit endless ball us standing week confront speak three hung fit ask argue door deep listen could tired hole moon show struck leave heavy party night holeyou dark question meet soul hurry
1900 Yesterday ; Liz Damons Orient Express;1900 Yesterday by Liz Damons Orient Express.txt;message soon fade blame thrown log hurt yesterdayyou yesterday cigarette throw smoke forget give broken feel anymore sure joy misery night share felt heart dream away day wrong think kill love
