title;artist;filename;lyrics
1-800-273-8255 ; Logic;1-800-273-8255 by Logic.txt;even right alive melt move give finally live alone anymore underwater road precious pray little travel hard low translationsdeutsch pain god care hold light today call every reflection first though head drown nobody shed callin heroic -- matter lover reason thing time long want somebody leg feel without save deep woo chest-to-chest die thank anymoreembed place snow stare everything show breath hurt tear mind life believe lightness talkin never relate night lane mine cry air dark phone tryna day ta think home shit
10 Freaky Girls ; Metro Boomin;10 Freaky Girls by Metro Boomin.txt;case doin happy meembed uber eat round ramp chess suck need jess throw bodyslam hamp bombaclaat im break waistline ridin vet shoot last shot use world zone worth eats brandy bottle bottom hard dawg vajay-jay bitch lot thuggin finna brown stick chain god rack pop face-to-face harriet g aint barcode boxer glenwood neck today much bikini hitter freaky dont shotta uppin group gang hang metro sock hangin hundred nigga ebt tec drown sellin fact clubbin tiffany block rookie rest beef mediate find randy soft flood candy furniture rapper girl together want seafood box uh pussy mama sit rock womb racin ever word hit grill checker car niggas curve body kiku baguette cash balenciaga peace molly pound bitter bloodhound fistfight keisha six close percs drinkin happen mess jobco comin tubman glock yah earlobe bouldercrest smoke moesha mop drip edgewood nothin never layin leave split hot getter altercation bluffin earlier back charcoal yacht thot guap straight rob casket patek keep dirty translationsportuguesespanol may sandy tryna stubborn day spot highway opp stamp think shit
1400  999 Freestyle ; Trippie Redd;1400  999 Freestyle by Trippie Redd.txt;swerve right deal burberry bird big brick bale card wrist usin nba madison shoot woman put use credit blam curb lyft square ike-y dealin good run bitch finna plug pain check stop gold song ball fuckin stomach third givin sniffin slick leavin boo bad cap real dick lookin xans half talk beefin rap hand brother hang nigga perc bank zap first head fact aw walk perm freestyle wo bullshit dunk percocets whippin time burn hammer murk five scammer uh pussy hell kid second ham search lil hit wonder clerk afro feel body black swipe bullet molly choppa morning two n hole drink look jammer fourth-quarter earth kick percs swerving deserve boom fly berserk worm hurt trill different herembed dance talkin bring nike turner herb condom party back squirt face play wonderland keep may blow beat day self fuck man shawty smokin laugh shit
1942 ; G-Eazy;1942 by G-Eazy.txt;right coupe whole oakland star follow big yee vroom likewise wrist outta prison halsey fendi twice hahaha put club porsche race date cost band line run shake hard mud diamond ting trust flight foreign drive-by bag dust bad baby sack talk way roof gang hundred hitmaka detailed three nigga rug red smash new ask late king puddle dime skippin ride rust brand flood steady jet girl text sippin poland step ta-ta-take rock spring livin booty hit l ayy versace tonight respect money designer wifey park woo lie cake sayin boujee could bus morning dog christian two balenci rule everything show love speed fly hunnid yuh talkin stunt shoe thatembed never bring loubs school back another safe speck scale phone spend day table man k
1985 (Intro To The Fall Off) ; J Cole;1985 (Intro To The Fall Off) by J Cole.txt;damn pay probably alive eat swimmin minute turnin wish route fall news somethin give break name type young congrats advice revenue really paper music dab trap turn hope buy unfortunately ridin white cause wave scramblin tellin jewel dumb quest game city good niggayou bottom forget bitch benz survive change tat frontin playin ya quit song trust pop barely blame fuckin pill skin foreign light bad expect real grow lookin rap talk reply would way people impact mean icy motherfucker luck call coulda rappin joke gettin bread fun hopin friend umm nigga actin next thinkin unimpressed old plus hear havin tip-top flop around thing surprised whip diss five folk large trend pussy mama everybody kid due rock grateful past ever lil hit niggas slow bunch feel year black respect skill money paint funky somewhere deep goin listen faster house picture drive trippin look crib woke hop mom remember intro everything show love amateur happen hip-hop sake commercial drum mind heel struggle exactly forever chance talkin shoe enough judgin never arrive hey hot party boy face keep segue regret watch collect fake blow day popping man fuck must true ta think shit
247 ; Meek Mill MISSING;247 by Meek Mill MISSING.txt;exist song meek seem mill miss
31 Days ; Future;31 Days by Future.txt;doin right damn pay whole eat teeth carpet naked jumped splash capital cookin need france fall whatever rider freak give beep pull young catalogue c caliber put fourth wave got little pee caramel jeez pick compatible anyways band dig run bottom ring hard bitch depend lot front check cheese trust catch e shh fuckin option us hold pluto bag collection real baby gigantic way part slob future every tee gettin penthouse nigga coca-cola fugazi drape clarity red smash zaytoven atlantic staying hatin land ask team titanic green beef panoramic flood moment time sleep girl level together want murder sittin dope mama stripper hell phenomenal second ever still medallion milan niggas ayy car pakistani-ans feel astronomical body without save daysembed knee-deep money vvs killer wear woo sayin could fifth maximum quieter laurent look majority calendar swag everything love fly super soon page caviar scene classical wherever tan glock stallion blunt already couple swagger drug smoke magical p chance talkin drip mouse slatt never romancin chinchilla leave mouth passenger dealer wait lay flawless shade face pack foot nothing rat patek cayenne lunch breathe normal skrrt-skrrt pocket paintin slim day fuck fell mode saint shawty think shit
44 More ; Logic;44 More by Logic.txt;case doin right heard sell pay instead swear indica david minute fame star need maybe apart whatever push throw teach riddle anybody name herd give number spittin really point yes alone anymore road momma surprise album yo club hate ledge elijah send abolish blew world zone top east savin drop nowhere run tread ring bitch finna deep-throat divine check ya god happenin yeahyeah pop energizer fuckin us advisor hold feelin week c- perry cut mile i-i-i ambien rap talk would common past-time way college motherfucker annoy reach first katy head heart shit hater middle hatin free shout start acknowledge hear infinity lord around afford time somehow sign long sleep snap want murder attention bustin writin everybody step kid supplyin durant ever livin word ayy beast roll enjoy blaine sure throwin mention goddamnit entity woo goin mothafuckas harry kevin compartmentalize nitrous flex million rip kill love street champion mind destroy life blowin levitate knowledge moreyou preach avoid wood never leave daddy dollar style back boy neglect aames i-i keep mine dream watch alias prone med beat phone tryna fed righteous mothafuckin translationsitaliano fuck advise wack spot man scary smokin think accept
4th Dimension ; KIDS SEE GHOSTS;4th Dimension by KIDS SEE GHOSTS.txt;heard even something rick minute coast need big sent somethin evenin theme chimney master live loose really music rope hope buy put lacoste ghost world drop atnas good cost record ugh losin bitch drama guitar song catch mix us light feelin uh-uh real half mean journey gettin guide three friend great though fit new rollin late surf darkest wrong hear wo lord find moment si kiddy venture want always sittin sin uh hell beam lose plenty smile kid slippin hit gnignirb ross feel bos alligator roll mention goin waitin flair two cougar hole evil keepin everything fast oh-oh sentence sale finish p exhaust talkin enough bring tahw ric style knee boy lost seem translationsespanolturkceportuguesnederlandsth dimension intervention dream swingin watch santa soul maxembed lock home
5% Tint ; Travis Scott;5% Tint by Travis Scott.txt;chancy right cup sarge hart ice tip move enzo ten wrist jump ratchet tour really mm vip razor creepin antsy window janet percent pick award teleport sister transit translationsespanolportugues benz change twist mix hold opps feelin liq bad lick someone real baby mile pass call endzone fall-in-love legroom friend yah-yah bouncin twin late around grab harass creep five fancy somebody mama inside yah-ah family still hit mwah jack end cop deep kevin outside tint ya-ah clip look crib love speed fly skrrt panic yah kiss out-iced pas smoke lip out-your-name switch keep watch dark tryna meet fuck shawty ta think shit
66 ; Lil Yachty;66 by Lil Yachty.txt;right least truck sixty-sixyou need dy bubble pull penny trippie buy tucked skate dancin top dumb bling bean drop band hard ring bitch diamond rack pop firework fuckin cock krazy bad baby aight curbin brother luck gang nigga semi team woah eight block wo fresh kidney sixty-six girl huh side bustin hatred rock hopscotch rich lil ayy forty testin shinin choppa skrrt comin flexin glock twenty servin boolin pullin grind blaow ventin school bentley high butt keep runnin tryna fuck tuck
8 Out Of 10 ; Drake;8 Out Of 10 by Drake.txt;happy role voila pay whole trainer tada shut easy presto neighborhood wing mad big whatever sent smokey ten type eye alone hahaha white pressin little top game max helipad drop city attach deadbeat good sister copperfield minglin lot catch hold subtle real disarray today talk would way mic estate luck rappin three friend nigga though goodbye next fit nobody stay argue hear reset seven eight son matter rest fear around time level want across best side drizzy settle sit still rich stage hit year try van set money forum less attitude end wifey park deep goin tap could product haheheh staple place look crib bless six mom keepin kill show else street fly kiss payin forehead mind guess nothin never guy miss leave da madembed grip play straight nanny tab breathe smith safe sense beat day man amends true makin ta think shit
