title;artist;filename;lyrics
(everybody Wanna Get Rich) Rite Away ; Dr John;(everybody Wanna Get Rich) Rite Away by Dr John.txt;rather thing right ring-a-ding poor groove everybody believe rich healthy .. rite tacka id lyricshot little wealthy game racka away mood king run day joe rang-a-tang change rum-dum
(Id Know You) Anywhere ; Ashford;(Id Know You) Anywhere by Ashford.txt;crowd chorusembed fool name sound eye babe cause x voice world lyricsthere pair baby flow would likerepeat hand call matter imitation chorus long want feel complete vibration sweet could tenderness loud close melody repeat never thousand another may touch anywhere arm change
(Im A) YoYo Man ; Rick Cunha;(Im A) YoYo Man by Rick Cunha.txt;early stuff staff instead stone sunday scum sent whoa mural carpeting outta sound strike chase killin security share tar truly sponsor outdoors ohio ring barnes ahab broke jammin army care pop dead option clearly near saw moos lyndon bed sensation much rap dice kool hundred raise nobody brotherly hoyt old regular late king offer walk lyin southern form candy provide rapper hospital cheat cryin rent side illinois psst bam choice brooklyn rod sweet surely gesture sawed-off veronica pod lieutenant hole away mm-hmm uh-huh homicide kick rover fast boom mission tear yea ambulance life errol worker decent intelligently dollar bald mylanta outdo town night breeze butt attractive for-real slap rude hidin runnin awesome- phone crackdown sandwich fry pay benefactor easy skinny-ass lou suck cent gots indoors messin conspire young protect point vial surprise last chinese vdp chest bartender uh-uh-uh-uh-uh-uh-uh upstairs anything psychopath joint stop good-for-nothin mix buyin g athlete continue g-rap gilmore future knew joke anyway left thinkin seat local free fella fear larry reason connecticut lookout alike bun recently static dope door short traffic bear terminal lift sure self-defence appear somewhere park wearin lie tap someplace ahh punk others death immortal comin finish kenny toss guess hard-core yup another play public nothing herman safe power gorilla egyptian god-fearin spot probably teeth ignorant girlfriend canadian movement stanley variation clockers yellin turn oh-oh-oh chump buy put yard shirt savin nowhere good th oughtta aid drama hard-on menace holiday feelin mug maricones cut grapevine louisville rosa medelln hangin bell-bottom scumbag rabbit cellular hearin pipin aw freakin buster main help motherfuckin choo-choo askin baltimore purer mall base ever permit promise model cash whale flip noise end jail class mastermind evil ground railroad grown-up homosexual ho heater kind moolies worried adorable lunch spend confusin prove mad think fe swear presto bet move warm ten break offence mixin yo victor minus got hood murderer johnson game honest assault manner speech hard marvello motto stick scared rag barely energizer surround reality ahead limit aight badge stool men speak group story root flesh fun first longer positive protection matter rest either find low-down dunk soft responsibility large license touchin readin hell powder mama leroy rock search iggin .. rodney hello loops lee decency gotcha threaten wise out-of-state jewish two house sharon view ceiling assed water perform fill super mess breath throat ba oh-oh uncle sentence todd ninth drug skyler growin remain desperate bathroom church-goin back boy count noble dough rob rat english air difference normally smokin rather picket long-lost boss stupid israel mm-mm hisself ago dear peer pina beep eye chill number cheek standin tough hygiene world top far crooklyn exit bottom nubian innocent hittin check trust samplin christ slick racist-ass pleasant bad defenceless behind would thief mean yos friday brain stay channel hobby andre shooter stain want tomorrow mr chocho wonder capper feel falter peace misery cocolo besides shop mommy dre suit state authority doubt living quick sweatin special finger definitely nice lend exhaust bastard mouth hot plant mistake enemy jam create homies co beer island landlord percentile lipstick ta hurry dinkins realise law something court fool shut shave glad alla someday vietnam give ronald mercedes-benz plat whack alone cripple cheap hate conspiracy newspaper arguin honey steppin bartucci catch gift shorty concentrate poor-ass grow nada clown shooting typical wu-tang red confused legit breach new jesus ill blue bullshit kept scientific hero sleep diss sittin sit word hit year paint since jacket sayin dog empty ear known homeboys ruin depressed recorder mom mattress snitch rhyme crazy prick crooked-ass print nothin rakin yep disrespectin ounce dang straight orange ho-ho dream recollect cool society fuck penn child try slowly mistaken pail poor colada klein solid throw bit pull blas card penny trigger usin sudden pet investigation little shinehead shrimp goliath run blast mirror survive subway low-life god quit appreciate invent smart bond cocksucker people way call gettin expose head lucky commit palm bdp wrong green lord yuppie staircase afford foolhardy neighbourhood squad murder food sir across become pussy smile livin knucklehead body bell maricone tryin south m-o bus leash whaler jeeter everything gym sometimes york aside lead unbelievable piece double ah hm captain cappin crackheads never fessed cuttin automatic pregnant lay accountant juvenile mine dope-dealin bust sell heard boogie-down damn magician big anyhow apart male trial teach hand-feed cylinder battery paper unlicensed creepin lionel hmm narrow pick trouble whbi necessary gloria playin gold fu visit crackin fuckin comic nah alzheimer shoulder mark pair week hand hang courtesy sa war inspiration actin rio argue hear fried conversation sign long creep office allah step kid per kaopectate save fault throwin sweat wabash everywhere listen morning ii drink thiggy-thiggy dunham drinkin figure personal collectin book cartel laughin range building national gain bacon mafia face hat build texas trace touch dark beat haircut timbuktu se doin right jungle stove train david b f- serve order jump watchin horrible live really road vet twice crime cold club freedom homeless buddy cocaine swing bottle lyricsthere mccauley father ya board lar stomach charlie cap real handsome bitty-bop tv buggin skirt though mooooo sick relax gangsta notify doctor girl motherfucking five folk chick everybody ricochet past liar sneaker without closed favour bullet naive direction goin bench barbara death-dealin grindstone parent gum warrant close cos bother happen microphone edition wander sex crack yesterday education final nike da italian cramp hip clam borrow twistin charge welfare ding-ding smell pressure crowd eat bar overnight accident idea beater sword wish arrivederci news maintain corinthian comfortable clockin pal stand buffer baggies shot problem buck city wake di-gel line shake shootin cracker possession ball suppose desert givin hold nintendo bourgeois work two-year-old moe pant lady hay-sus roberto visitor blood great uniform strung pepsi expectation gun fire usually dime slam beef around quality statement welcome lawyer always whoo trash phat patsy drawer eh horseshit hal bos kinda toy eight-thirty outside thank product bitter look dude beeper remember rip kill street ok. regardless kiddin mandela waste ready guy bring wait president id party completely scotch many glass cry cycle brighten tiddlywinks small one-armed man change hi squeegeemen understand sniffin force hidden tone read whatever herd cage confusion hope hour shoot joy use argument ok gat occur travel guys store ha dickhead tupac golf lem light suddenly headache someone dick sport sober part foul whoever pea dicky dr test faceless lewis payback guidance ride -year-old shift bash somebody pm lose cursin still slow messed-up respect stealin killer mary wear monkey chillin attend faggot listenin officer electricity love warn open lockup seein okey-doke exactly talkin mop leave snake school thanks genius beady rang silent hustle foot floor service pocket value insight must reds lock happy whole deal walkin minute um jew hooky racism somethin slack fence name haul carl wife month movie knocko owe send wonderin punch cost low bitch lot handle front competition us bike confess manage sorry talk involve slob till mazel ghetto grande darryl excuse three friend wipe leather sellin truth nappy start wo load snot journalistic pickin together text leg kung uh horse family reasonable apron birthday quite write african dominate die robbery port six needle knowin nephew clemente three-two health killa spread mazilli account smoke toughness slugger hey explanation solicitation drunk bail keep intent ooh-ooh sweetheart day meet wild notice clock original yellow kennedy nigga-hating cold-blooded tongue funny maybe soda razor woman western proud untold mud bored video pill claim african-american favourite metaphor stress borough trusty intelligent adam goodbye preacher a-a-and point-by-point strong scheme junkyard understanding tribe rudy salute explain best ding occasionally rich atm takin black clean none piss cuff flex fuss manager uncuff qu collar kiss already mind wonderful believe correct bitch-ass interior four pussy-bismol age moo detective serum trolley stick-up bomb deluded fell home even arrest zipper slidin beige shakin hard-working undercover budget daughter -inch neither later window consider oowop record glance swiss windows chocolate forget scar benz ex-wife pinch song third beatin vic budge lookin church brother def adams nasty-ass businessman hambones citizen country workin bein block pronounce snap disagree inside terrify second youth barber bunch jo-jo dmf please roll tire could nevertheless drive nowadays ronnie answer show else yet pipe retrace plead self-cleaning spiderman oven steal violence different walter victory whoa-oh-oh-oh miss business goddam anyone phat-ass nope triple-header seem dome crew boat virus grave may blow tov question criminal pretty self arm startle shit treat stomp charise bloody characteristic need stillyou naw yes nigger poppity-pop term sega duck thought bro dumb shell marvel milwaukee depend brown chuck newborn bag otherwise broom parasite baby today half decide analysis jaw boys every nigga bank heart station sidewalk son basketball sneakin firearm huh religion customer nickel actual central half-hour ty set tablecloth money cedric examine cop double-cross jumbo tired mvp whistle job profit hurt tumblin parking baboon a-writin hill shou willie key automatically full cell hoe dirty santa brand-new bogus jumpy fart wing kirby anybody illa vote jerk white steel tellin wash burger drop attack half-year schnorts ten-year-old rocco tight mother cheese gung-ho pin carry situation bill slappin motherfucker shotgun serious rough reach next two-minute crap ask quiet homo-cide thing time burn waist smellin crackhead nation justice car rid deaf thriller single place arrogant crib slip rule dry splatter bing fine fly zero chrome wherever dad tape strip project enough layin freeze daddy sleeve whiting spic high bush tyrone smith watch wall claimin better soul pump weight pacific aeroplane
(ive Been) Searchin So Long ; Chicago;(ive Been) Searchin So Long by Chicago.txt;something whoa eye good light baby behind part mean strange meaning new free find thing time somehow long ive hell inside search feel end deep searchin answer everything tear life believe never leave yeahyou hey natural question true change understand
(Youre) Having My Ba; by Paul Anka;(Youre) Having My Baby by Paul Anka.txt;happy meembed ya inside need life whoa baby grow glow eye much feel would way woman put lovely face youre could keep sweep seed think love
9 Dream ; John Lennon;9 Dream by John Lennon.txt;something ago warm name sound yes tree music pousseembed cold sudden john spirit mirror bowakawa rain real call heat strange hear walk start pousse around long somebody unfold feel whisper could two away nhoj street ah believe dance magic river seem dream air touch soul think
A Dream Goes On Forever ; Todd Rundgren;A Dream Goes On Forever by Todd Rundgren.txt;ago big exception live hope far stop fade within standing much left old soldier sea fear find time join long without year die away million love everyday tear life guess tragedy believe forever streaking never silent thousand dreamyou nothing dream day true
A Fool Such As I ; Bob Dylan;A Fool Such As I by Bob Dylan.txt;happen fool dear teach pardon angry year yes till untrue sentimental goodbye die little iyou cry dream day love
A Mother For My Children ; The Whispers;A Mother For My Children by The Whispers.txt;need beg eye lyricsi stand live alone got little wash sister mother care us bag someone would brother goodbye dish stay ask along scrubbin find always mama kid rainy childrenyou die could two away place comin never leave boy pack floor day child ta home
A Song Id Like To Sing ; Kris Kristofferson;A Song Id Like To Sing by Kris Kristofferson.txt;thing father song together always want maybe need muppets forever sound mean brother id sing .... woman last enyoying little tune good sister along pretty man mother love
