title;artist;filename;lyrics
(Closest Thing To) Perfect ; Jermaine Jackson;(Closest Thing To) Perfect by Jermaine Jackson.txt;chemistry likei whoa precious heaven lady mean well-defined seenembed heart thing time long girl explain leg inside lose ever feel sweet perfect anatomy listen could look close drivin crazy streamline mind believe kind ideal lyricswhoa control must ta burnin
(Come On) Shout ; Alex Brown;(Come On) Shout by Alex Brown.txt;right something scream round star need move freak break cover music human cause likemaybe little bright shine pick good stop light heaven spin way seat head shout start dime insecure lover candy time rapper circle motion feel tonight sweet two place lyricswatch crazy composure dance chance physical ohh boy machine foot another keep dream blow ohembed
(Pride) In The Name Of Love ; U2;(Pride) In The Name Of Love by U2.txt;early sky betray kiss pride wire life beach caught memphis justify name fence april resist last shot barbed could nothing morning empty wash nobody free overthrow man ring love
19 ; Paul Hardcastle;19 by Paul Hardcastle.txt;eight-hundred-thousand troop typically n-n-n-n-nineteen nineteen total ten vietnam serve d-d-d-d-d-destruction rage duty really tour vet month last sensitive thought destruction world area northwest prime forget study s-s-saigon us foreign receive week continue mile stress today suffer half almost men way call war expose lyricsin hostile n-nineteen whose alienation fire fight soldier eight wo post traumatic hero twelve administration guilt veteran welcome average complain s-s-s-s-saigon lose miltary suicidal past spokesman still year disorder sure south psychiatrists combat none n-n-n-n-n-nineteen ii two fighting remember kill twenty-six saigon everyday different twenty-five border enemy heavy age s-s-s-s-s-saigon seem another many s-s-saigonembed succumb accord home
2020 ; George Benson;2020 by George Benson.txt;right something walkin give really point put clear losin visionembed hindsight catch us vision saw light future late along history wrong matter time girl always door stage tryin listen blind view figure love different grant double chance never miss lyricswhen standard back liketakin change think understand
A Little Bit of Heaven ; Natalie Cole;A Little Bit of Heaven by Natalie Cole.txt;right shut darling need maybe bit alone turn last little hmm world heavenembed world-just thankful good mountain line honey lyricsthe us near light heaven spin baby talk heart hear -- find thing time sign want door word climb tonight resist two guest look close love likeshut mind night touch wine
A Love Bizarre ; Sheila E;A Love Bizarre by Sheila E.txt;stuff scream ow b strawberry whew c joy shin spine ivory doobie-doobie-doo skin bed swallow roof rough bizarreembed hoo find thing bizarre want sin pride tower word body kinda whisper two moon love kiss mind dance whispering outrageous never back flower build upon dream limousine wild
A View To A Kill ; Duran Duran;A View To A Kill by Duran Duran.txt;flame whole secret need fall snowflake drench chill cover sound stand killembed skin week wide rosy crystal first fire lover find stain time plan inside still choice feel body year phoenix die could place earth view nightfall fatal kill open tear kiss dance chance broken overseas assassination sacred shade face meeting gap dreams mystery
Abadabadango ; Kim Carnes;Abadabadango by Kim Carnes.txt;even star fall apart give break eye voice use clear line hard lyricsabadabadango vision yearsembed someone laughter ignore heart head rhythm hear start time inside year pound draw listen blind loud place million close sometimes tear abadabadango kind wait awake magic likeit seem night dream beat spend try
After The Fire ; Roger Daltrey;After The Fire by Roger Daltrey.txt;scream distant yearns sound deluise turn window white voice pain stop color rag video rain dillon saw grow tv gang brother joke heart hungry old ask memory gun fire harley lyricsafter hear ride burn blacken always across breaking ever still matt ta promise black tire likeafter learn begin drinking burnsembed happen tear tape smolder never hot thinking night cycle cry wind dom smoking soul child wild laugh
Alive & Kicking ; Simple Minds;Alive & Kicking by Simple Minds.txt;flame alive cup follow someday fall turn share shine top crucial survive stop tide calm light mean till goodbye stay wrong thing burn inside second ever save kickingembed lift sweet -i-i kick love lead crack storm final magic nothing dream touch feeling home
All Fall Down ; Five Star;All Fall Down by Five Star.txt;happy star follow big fall jump really afraid joy use bright world lonely wake anything baby grow people way unsure friend discover walk lover fear find thing sleep long together want dizzy smile ever wonder feel sweet could picture look ground love special wherever tear inhibition lead mind dance sing boy night pillow high keep cry air touch change mystery think home
All I Need ; Jack Wagner;All I Need by Jack Wagner.txt;easy star need stand yes anymore cause little bright shin hard ahhhh light way felt matter time girl plan always ahhhhembed feel tonight sure look love hurt kiss mind believe chance never oooooh seem may true think
All Of Me For All Of You ; 99;All Of Me For All Of You by 99.txt;cloudy notice even right something motif em happy bar sore occasion spiritually ago typically secret chess need think fall whatever booby lyricsyour partly move movement give loosen im young eye finally really starve dmt trap express hope keyboard last put cold hate white physically dancin shirt percent dumb loser ancient th bartender good line bone hard low dawg forget bitch lot front blaze stop tense god care ya sunkissed us hold saw work light bad week heaven cut person mentally focused stole porch much rap talk behind would fat distraction mean way guyembed call future calloused nomad warmer joke hooter flesh friend note first blood actin great head heart flaw stay everytime usually start sick fresh find roses shooter furniture time long girl drain huh impatient impossible want always best become attention sin inside lose kid smile past snack still july wonder hit rich glow feel without fallin body likefuck single black set flowin less park sarcastic die could outside score cheddar away drink computer look hype sad everything show others love lit happen weigh sometimes solstice hurt skinny payin already summer life piece smoke forever exhaust grind never guy miss leave hopeless reject scooby forgive blessing heavy curse back face night high seem play nothing another bowl beer keep blow pretty day polish cool fuck rewind soul try space mad home laugh
All Right Now ; Rod Stewart;All Right Now by Rod Stewart.txt;right maybe need move name stand live babyembed last put game good trick baby talk rate every raise head lord thing shame girl smile slow tryin place look love street fast kiss parking w-w-w-watch hey wait face foot watch hesitate try think home
All She Wants to Do Is Dance ; Don Henley;All She Wants to Do Is Dance by Don Henley.txt;sell right walkin disco bug round pen rebel eye yankee afraid last put weapon buck prisoner army runway barely mix people men heat kitchen romance blood local molotov shout hear pickin want danceembed ever still cocktail feel lounge pistol-wavers money since die could two drink street crazy scrounge room comin drug mind plane dance taxi never bring party back boy wild-eyed sink keep airport makin government
