title;artist;filename;lyrics
(Hot St) Country Grammar ; Nelly;(Hot St) Country Grammar by Nelly.txt;motown crowd law sell em bionic lou fame pen ice need likei stretch cocoa give foe cheifin yankee hotlanta really beenie chronic circus playa twice yo club glamour shimmy cause proud thirty shaw game ironic lesbian nowembed gate run blunts forget bud benz broke quit price cock givin lunatic third fuckin shoulder mon jennings light snatch l-a win boo k.c mug chi-town milli-ons cut baby mile spin gin sober bill mean hang hangin clown gettin a.i u-city foul nigga friend actin new rollin twin stay ask st. produce country havin entertainin mack frown find around fan candy remi hammer daps bull trump o.k sippin whoo shrug slammin kid sweeper niggas bear onyx rubber feel grammar puff money kenwood dub pound end hmmmmm paint deep goin sonics raw mill listen die donald loud mmmmm alabama til kick kingsland close rover louis rule hug answer hannibal indiana show sheist street holla knockin action chrome lector todd range york cat navigate seein pas blowin faint corral life nice lend talkin memphis enough ready wood slamma never bring leave hey wit hot freely trife sing tonic style back ebonics boy key town jehovah high savannah play beemer quicker dough hoe texas watch silly may blow beat decorate question pretty perved righteous day fuck man billy hi wild smokin bust shit
(You Drive Me) Crazy ; Britney Spears;(You Drive Me) Crazy by Britney Spears.txt;something easy alright move jump anything nightembed spin baby much mean every felt heart blue around time sleep ever feel deep drive earth look ground love crazy excited waste thinking night keep feeling day translationsitaliano
15 Minutes ; Marc Nelson;15 Minutes by Marc Nelson.txt;right downstairs damn pay scream minute bet maybe lyricsdamn freak give break name stand turn ya care flippin fade hold work cut much talk behind would negligee call three first next late wo chorus time girl snap want side booty hit feel bos flip lie dot two loud place love quickie guess kind juice pour arrive hot thinking lay face egg floor day ta hurry think
247 ; Kevon Edmonds;247 by Kevon Edmonds.txt;rather right personify lyricsbaby bout minute give babe pray pick anything secure low daydream god shorty real baby bended mean till hand friend though new brand chorus moment time together five always across best inside smile word feel nine u prop place love mmm open life kind lip never bring wait mentality knee count night high foot endyou adore man arm mystery think understand
3 Little Words ; Nu Flavor;3 Little Words by Nu Flavor.txt;hook fall eye turn cause little hard stop saw mile would way first felt heart lyricsnever youembed hear sight around time sign girl together always across step smile word feel tonight write erase could two look hop realize ground love likeone boom room believe forever never wait thousand face foot keep touch feeling fell true try
4 5 6 ; Sole;4 5 6 by Sole.txt;right something damn pay suckin eat bet need drive-thru move give freak pull name outta wet loose turn momma hope yo put club hood burger stayer game buck nowhere good satisfy shake bitch tight playin stick ya chain thang wastin care player quit mix givin fuckin astray feelin real baby dick lookin wide would freaky call motherfucker sock excuse indian gettin boys nigga rug whose nobody stay strong slangin sauce lyin guarantee find around time long girl sign want plan pussy uh hell inside rock due livin short ever promise feel black try iy-yi-yi money none monkey nann could outside breakin potato knock away drive fightin everything love fur pipe open ho room comin eyein talkin bang ex-bitch enough never regulate bring layer mr. daddy lay back boy haha steak night another play hoe floor mine keep runnin horny better phone lovin whathow fuck choose man prove ta think home bust shit
911 ; Wyclef Jean;911 by Wyclef Jean.txt;meembed doin right piercin need big pull messin break eye blige tough turn trap wyclef shoot yo cold shot use problem pick allege acoustic worth trouble anything hard low losin serenade prisoner guitar care dare understand light feelin someone real would call every gettin blood next heart old fight havin lord matter around time girl want folk five always fellas chick worry assailant wonder feel body tonight please j. bullet mary cop sayin j look police mom love warn death breath sometimes tear life kind favor four sing night foot wall phone day man soul reveal think home sacrifice
A Country Boy Can Survive (Y2K Version) ; Chad Brock;A Country Boy Can Survive (Y2K Version) by Chad Brock.txt;west damn knife nineteen millenium likei coal give live dawn starve afraid bocephus western little surplus california city good mountain run hillbilly ol survive grace army catch december buyin us whiskey work grow yk people mean shotgun call friend bank new land wheel country around thing time forty-three rifle long virginia switchblade folk lose lyricscomputer crash year st field south end north two drive dude dusk kill fine sky version york system life smoke wood rocky never bring four dollar back boy catfish machine town plow homemade many tomato mine day ninety-nine man wine
A Little Gasoline ; Terri Clark;A Little Gasoline by Terri Clark.txt;west bye-bye need push give gasolineyou gear road last put window fume little run shoebox third baby sorry talk way till string left heart head test old shout wrong wo rest time long circle word angry feel lie picture gasoline look view lyricsthrowing love tear mind burning never back machine full pack dream wind blow scatter letter think
Aarons Party (Come Get It) ; Aaron Carter;Aarons Party (Come Get It) by Aaron Carter.txt;right something even rodeo walkin lamp idea france cushion move throw bit break jump c really alone turn tree hope month surprise later movie yo put white send wave little bright pick good trouble aaron ring honey ya doorbell dead stock people hand friday left great though first thinkin head new mtv nobody popular test old hmmm along fella hear walk start flyer block wo slam find around thing time long girl aunt naembed together always side sittin somebody bustin uh everybody step lose kid door second worry stereo family car year everyone noise sure sweat somewhere clean goin could expensive house parent loud fuss ground mom show fine fly crankin open mess dad guess life double juice hustlin leave hey school nike da sing joan party dang haha night another floor stayin rise meet table man recognize try ta think home spill
Absolutely (Story Of A Girl) ; Nine Days;Absolutely (Story Of A Girl) by Nine Days.txt;whole fall smilesembed stand hope put world far lonely hide wake run mirror price real today would way story every next drown stay walk lover insincere find thing long girl photograph smile word promise quite year clothes wear absolutely hole look sad love tear disappear shoe sol never mouth wait river face seem many cry watch wind pretty day choose hair
Again ; Lenny Kravitz;Again by Lenny Kravitz.txt;right time long againembed gift always wherever somebody within door life win search ever love forever heaven wonder break quite never without would throne every sacred worse could upon cry yearning lonely good king hear walk day soul queen
All Good ; De La Soul;All Good by De La Soul.txt;hopelessly right stuffed pay extra maze alright pepperoni funny wish brush need dealt brick bit give thangs young number lumber wave little scorn peep drop good clear shake indeed tight handle front lot cheese stick pizza god care verb catch third claim dead us certify pair thorn pile cut baby people situation hand horror boys cope nigga lace red theory head loving upfront extras youembed truth woah scheme lukewarm walk sea block guarantee size beef fiending inviting thing steady moment deer girl together want plan large always chick inside repping oooh due sit kid word moses feel curve dial candelabra pie grand zipporah sure fairy-tale biz paint cop goin noo-ohhh could bolt away look slice kick show love weigh quick transmit sometimes uhh mind divide life microscope believe never bring leave hot four reattach back face satisfied nothing build upon visualize keep watch wall phase pocket gall man spot letter try change think understand
All I Want For Christmas Is You ; Mariah Carey;All I Want For Christmas Is You by Mariah Carey.txt;happy even list right wish need christmas sound translationsespanolturkcedeutschfrancaisall stand really tree send present shin ring tight lot care nick hold light baby laughter stock much hang fireplace stay underneath ask hear wo thing want door ever pole tonight bell brightly everyone please toy everywhere could outside click north snow fill reindeer ah bring wait awake magic sing upon keep air day mistletoe santa true saint claus sleigh
All The Small Things ; Blink-182 UNCERTAIN;All The Small Things by Blink-182 UNCERTAIN.txt;thing care always best rose suck light work brings still carry windmillembed na-na lift watching commiserate leave wait turn surprise thrill night windmill little head stair keep truth late small trip true ride show home
All Things Considered ; Yankee Grey;All Things Considered by Yankee Grey.txt;doin even right clock gas breakfast serve break sound live paper alone pet consider wake run ring forget lyricsall asleep bed way till home growl though heart head stay size wo around thing time five inside lose slammin door sit still traffic car feel bos end deep morning dog hole fineyou whistle fine mind piece leave wait lay boy foot texas blow day
Amazed ; Lonestar;Amazed by Lonestar.txt;whole eye thought little anything surround skin baby taste much almost way every amaze first heart youembed hear rest around thing time want side inside ever feel whisper away place close love kiss life forever never anyone night keep dream touch blow feeling dark spend meet smell hair
American Pie ; Madonna;American Pie by Madonna.txt;happy truck levee train ago scream coast maybe news teach poet break admire music turn bronking last ghost use singing buck lonely good dig store bible father god catch saw whiskey real people men would church speak luck three teenage old ask rhythm blue singingembed start hear lover son time holy long girl smile rock still word slow save write year bell pie roll rye translationsportuguesamerican die could faith away drink drive kick dry remember american gym book love chevy street mortal believe dance chance shoe miss sing pick-up sacred boy pink carnation play dream cry day meet man soul child bye
Angels ; Robbie Williams;Angels by Robbie Williams.txt;right instead wing whether grey break waterfall angel thought run bone lot pain dead bed grow weak call flesh affection fate head old offer wrong walk protection wo always sit insteadembed forsake unfold feel lie place look bless love street wherever salvation life one-way wait contemplate breathe may feeling lovin
Another Dumb Blonde ; Hoku;Another Dumb Blonde by Hoku.txt;something hook interested instead alright bet need move really last hoping tellin little ok thats dumb overhear line okay playin clearly blonde ahead baby hang sinker anyway friend unique lately heart trophy hear walk find thing time sayembed girl door sure goin love special seein mind whatcha enough never party face youre night another phone arm think hair
Another Nine Minutes ; Yankee Grey;Another Nine Minutes by Yankee Grey.txt;right clock pay eat minute idea wish move bit pull cover buy little world good button stop sunlight care wrestle us skin would way call ooooh middle old stay late hear start moment time alarm girl worry hit sweet perfect end nine morning love soon steal dance repeat never wait night another keep dream mine feeling fadeout day arm ta
Anything ; JAY-Z;Anything by JAY-Z.txt;right scab gee signing exchange pen tongue follow think big dat environment dear fall throw whatever im give young number stand loose yes turn momma wasnt put progress shot minus su gotti little stoppin thats world shine chest line run dame anything grass thuggin hall queen bump playin check ya god apologize trust feed pop us pad light aint feelin work bad cap heaven cut baby bed real cream achieve gleam embody would dont whore situation roof brother nigga friend stoop mi raise red head biggs ill nobody youembed holdin asthma wrong son matter pimp around chorus strive time huh girl spank want rent wisdom casa best uh door rock womb due lil peelin feel body save closed write execs ty set money perfect forbid die listen bite product two look view dude remember everything love nino street crazy deserve nephew duro important ho uncle kiss dad yea mind meant life hoop lesson believe nice code shoe household goal never bring leave snake mouth wait thanks bloom id bid back hustle grieve face youre steak high straight another nothing night crew keep mine breathe rib pretty day man fuck ta risk mad bust shit
As We Lay ; Kelly Price;As We Lay by Kelly Price.txt;pay instead minute likei wife yes turn hour cause share shine cost forget pain sunlight price us morningembed reality someone baby would way hand lovely goodbye new loving fact moment time sleep want tomorrow across lose second no-no-no-no-no-no-no morning away separate kill love else happen oh-oh hurt simple steal life whoa-oh never bring leave hey lay back count face night lyricsit ooh-ooh belong day must ta hurry think home understand
Ashes By Now ; Lee Ann Womack;Ashes By Now by Lee Ann Womack.txt;need teach ooooo monday last nowembed run elusive low baby much memory tease moment burn long want past morning wildfire pleasure ash love crazy open already never leave lay town full suitcase hurry
Auld Lang Syne ; Kenny G UNCERTAIN;Auld Lang Syne by Kenny G UNCERTAIN.txt;brae right yet gowans burn cup pud yell weary us sin braid thine mind sun kindness syne twa acquaintance jo syneembed never bring dine till surely hand roard pint-stowp trusty weve paidld gie mony fit morning ill mine fiere gude-willy waught lang hae run auld sea wanderd forget frae theres tak fine
Ba; Dont Cry (Keep Ya Head Up II) by 2Pac  Outlawz;Baby Dont Cry (Keep Ya Head Up II) by 2Pac  Outlawz.txt;everythin even wantin right probably complicate deal alright secret need big blown fall surface give thangs jump young spittin wife horrible live really choosin cheek standin turn road trap hope chase ohhhh woman last yo precious homie millennium cause violate beautiful got bright chasin little game deadbeat pressure hard forget losin survive queen pain father stick cheese ya stop givin nah crooked light grief win baby craze aight much rap dont would way cry-ahh lady story hand pity gettin brain nigga three though note seat thinkin sho head new nobody hater grabbin ask blue quiet wrong outlawz ebony lord find dime e-class stash seventeen moment time od girl trade food somebody uh hell lose smile kid pac livin still makaveli slow niggas wild-ass feel .. write black please roll tryin perfect since die could ii elementary picture seed drive place million h.e.a.t. soulshock wo answer love fine crazy deserve sky everyday uhh karlin tear kiss dad mind piece life tragedy struggle mo nothin never bring four beneath back lost night another keep dream cry crayon blow feeling pampers man soul choose try change lock mad sheddin
Ba; U Are by Gerald Levert;Baby U Are by Gerald Levert.txt;right hook star need number yes tree woman babe world shin good mental ring pinch diamond woo-hoo rain sun reality bad baby grow mean call friend stay ask lifetime hoo find around reason thing girl want fancy tall best everybody inside patience search car promise potential toke lie u could seed everything show book love fine yeahembed life smoke pour nourish forever shining never bring hey natural sing back cloud high hat encourage keep rainbow blow difference man woo-hoo-woo
Ba;lon by David Gray;Babylon by David Gray.txt;crowd babylon fool sunday wish move push give really admit alone turn afraid turning nowhere london clear run front fade light ridicule bad situation part tv bitterness friday red head heart bloodstream blue station green around time want smile saturday wonder climb feel rush jealousy blind stair loud autumn look kick doubt show ahembed love sky open believe repeat chemical shining never leave mistake back certain night cry change wild home
Back At One ; Brian McKnight;Back At One by Brian McKnight.txt;need fall apart throw oneyou babe use little far lonely farewell nick us sun work undesirable real would way undeniable three heart new whose start thing time incredible girl together five step emotional ever feel begin two lifeline show love basis plain unbelievable life believe repeat never four back key night breathe dream mine dark true reveal child
Back At One ; Mark Wills;Back At One by Mark Wills.txt;need fall apart throw oneyou babe use little far lonely farewell nick us sun work undesirable real would way undeniable three heart new whose start thing time incredible girl together five step emotional ever feel begin two lifeline show love basis plain unbelievable life believe repeat never four back key night breathe dream mine dark true reveal child
Back Here ; BBMak;Back Here by BBMak.txt;even need alone world run feelin baby thinkin heart free wrong girl want inside livin ever wonder promise set since misery lie away love comin life nothin miss back nothing cry belong true
Back That Thang Up ; Juvenile;Back That Thang Up by Juvenile.txt;right clothe yellow shakin follow carnie whatever brick freak nude foe kanye broadway act coochie eye live loose point yes road vip woman yo put club lyricsfat world crooklyn likeall drop tic-tac-toe line shake hard dawg forget low stop video thang pop shoulder work tities real cut independent lookin people freaky fat thief brother thong shadow nigga stance toe head rollin holdin along fella wrong seven block ride around thing time kaine waist girl timbaland scoop together five plan sir cross mama stopembed lil atl fo crunk swollen thigh lift roll money clothes south u dog six mamma show love holla dancing fast pourin flexible heel clan p mia nasty roc shoe snake sing hump back knee whop bend drunk crew high juvenile keep ying blow man self must shawty ta wild yang think
Bad Boyz ; Shyne;Bad Boyz by Shyne.txt;law coupe suckin walkin coke marla need trial grin move andrew pull type give corner wrist eye live point hope shoot yo hate shot g-string four-point-six poison dap coward tucker shirt gay recite slang game bling top drop line blast shake bitch barnes cah father hittin bangin ya unload thang protest pop opera fade fuckin cock us mime g nicky rico delores bad dust week carry gleam whore squirtin rap talk way bill barrington weak hang jaw shyne every ki hundred brain nigga wipe heat-seekin note head popular flaw stay ask st. shout maple di streep dippin talon coke-test stain thing mics want trump five uh draggin rich slow hurtin bear niggas gulf puff write black jackson set ty respect examine money bullet witcha c. cops aim clean bart sayin die bite two cannon tired bust til evil fill mom dry ash pot snitch pencil stream love franklins street sky fly skats death hosiery wi cunanan tear lead finish dangerous life double curtain ah pour hollow talkin bang drip nothin sweepin boil leave topless four bentley condom dollar dummy boy mink charge pist-al cristal crew another high floor keep watch runnin pocket fed croissant fuck fog man try boyz think sniffin shit
Bag Lady ; Erykah Badu;Bag Lady by Erykah Badu.txt;crowd stuff bet deny yes paper fendi breathin good run hard stop ya hold light bag bad someone baby sack much talk way lady plastic nigga nobody start wo shopping girl mama inside ever draggin nickel booty feel could bus grocery love sometimes hurt backpack guess cheeba believe gucci bookbag miss onto back pack garbage cry day must true hurry space ziploc
Be With You ; Enrique Iglesias;Be With You by Enrique Iglesias.txt;move monday give sound alone hour cold window voice world city low gold light baby hand youembed somehow sign sleep lose smile slow feel without save die look street fast tear mind life count night touch soul try
Beautiful Day ; U2;Beautiful Day by U2.txt;case even right canyon bedouin maze need bird move fall teach break road dayembed shoot beautiful world clear ring mud front grace stick care light someone ooh-hoo-hoo destination hand luck friend reach first heart blue fire green sea find reason flood somehow china rent imagination traffic feel field translationsportuguesbeautiful could away place colour ground love sky room tuna lend return fleet hopeless mouth stony bloom oil cloud town night touch day leaf anywhere true space think
Because You Love Me ; Jo Dee Messina;Because You Love Me by Jo Dee Messina.txt;thing time message alive glad wish life believe recall never way show unseen every cold empty world heart dream good day meyou soul survive love
Been There ; Clint Black;Been There by Clint Black.txt;pay wish need give break really far wake tight price hold suddenly would part gettin reach discover middle incomplete noyou moment ever wonder feel end scene repeat never lyricsdid leave back night bend many dream spend day trip true makin ta think
Bent ; matchbox twenty;Bent by matchbox twenty.txt;complicate need fall give break stand put pick good bentembed lot scared fade hold skin dust landin way till old along start walk around sleep together help hell smile feel without tire end paint clean bent could sympathize love breath complicated piece jaded enough never wait back completely bend keep touch phone think understand
Best Friend ; Puff Daddy;Best Friend by Puff Daddy.txt;right even whole eat thugs star need dear big fall teach give name young eye live naw yes hour shoot woman put thee hate sudden pray tin bright world shine far buck date mac strength shake hard tight lot drama alot god surrender song catch hindsight christ merciful platinum tremble real stress pass much half mario men wide would way mean reminisce hand call lust ups friend blood raise next great jesus nobody fact ask truth youembed shed judgment hear start matter fear lord millies grab thing time dedicate want always best side wisdom help waver clap trespass due grateful still word wonder hit bear manifest crash without save feel year winans sinning end nine since timberland die could begin thank faith two seed linen look fruit crush bless close whenever doubt living ground remember everything kill love sometimes pretend unhappy mind life spread plush escape never leave bring mistake gracious plant forgive relate back willies town face crew nothing rolexes play cry wall air possible phase blow spaz power dark praise day choose man soul beginning try ta think understand
Best Of Intentions ; Travis Tritt;Best Of Intentions by Travis Tritt.txt;even right whole read big give exception yes pray wrap world loser good devotion ring tight queen castle much people hand future though heart lucky ask along start wrong wo matter find thing somehow girl forgiveness plan always best best-laid promise feel without please intention could youyou slip remember show love deserve grant winner never seldom build makin arm try true think understand
Best Of Me ; Mya;Best Of Me by Mya.txt;meembed even something pay condo move somethin later yo put cause vacation tellin little game city cost mountain run ha-ha forget joint check castle givin nah hold v bag win brag bad baby flow flash tony much way hand call hundred bank though lately head fit hater stay strong bridge channel woah wrong walk wo frank literally arnell thing time whip shopping huh girl want best rent uh inside livin rid l feel thigh cash money dying clothes sure italy deep could away drink place look crib mind replace leave wait hot style boy fifty night play dough many keep pete mixed blow feeling pretty clever man try wild home
Better Off Alone ; Alice Deejay;Better Off Alone by Alice Deejay.txt;talk alone ooh-ooh good meyou think
Between Me And You ; Ja Rule;Between Me And You by Ja Rule.txt;doin even probably whole shut tongue beach push thong-thong throw pull freak foe number wife live alone turn homie last yo little thought zone game drop low bitch lot thinka-think handle tight cancunin rain pop shorty jay pedal ja light bad stiletto baby lookin freaky way roof thong every knew nigga friend homey first champagne thinkin new lame freakin strictly slide chorus thing time creep girl impossible murder checkin best uh lose spring motha livin ever word hit year mornin money christina biz end could begin house away ruin look slip close rule love holla speed pager room milian summer inc. life hummer mouth awake wit startin key night shhh keep hoe air phone meet day fuck man think shit
Big Deal ; LeAnn Rimes;Big Deal by LeAnn Rimes.txt;heard happy swear deal shut ago big fall ten rub dealembed stem use good congratulation ya care bragging way call amaze friend first head loving lucky hear time long girl rose ever word feel perfect contain away love crazy heel believe forgive face another candlelight mine regret keep
Big Pimpin ; Jay-Z;Big Pimpin by Jay-Z.txt;doin right b corner ghetto-fabulous beep standin woman cold spit check feed trust bad real sce-nahr-i-o flow rap would pamela rappin fist southern mercedes scenario sippin chick everybody slippin ray feel p.a.t black mill cuff breakin toys uh-huh fuss holla happen quick gram passion life believe hot jam night pointin sense ta pay fool cup give trigger-man ridin flyin cause hate daily hoes peep buck record ball catch g lick geyeah ge-ge-geyeah lookin slab heat bread barrio illiterate anderson hatin stamina blade track block reason ozone bun sittin sit word hit b-l-a-ds thug oops keepin street weigh uhh comin nothin custom wait straight play many blow fuck spendin man shit read need throw lean bit pull c wet divorce put little good shell impresario cut baby dick half part call every gettin nigga candied head heart mtv land pimpin son pimp ride nyc motherfuckin broad mall patience livin still flip noise money jail poppin love ho talkin never butt-naked leave split hoe scary mad sell jigga truck em big fall break nut yo white hood pro-zone bitch cheese b-u-n fuckin us pair week carry sorry motherfucker bembed first leather start wo find time surprised timbaland pickin uh step car crunk stab lee clothes everywhere timothy two whitey place gut book pourin assassin canopy laughin glock forever prose enough wood back boy weed egg keep texas watch beat trip pump smokin vocab
Black Balloon ; Goo Goo Dolls;Black Balloon by Goo Goo Dolls.txt;ice fall stand turn cold cause balloon angel world saw sun light someone spin baby almost swallow spoon colder reach thing time tomorrow always become inside lose womb without year black lie could hole prayer show love fly angels room lead life never leave beneath knee thousand boy scatter meyou fell think home
