title;artist;filename;lyrics
(Believed You Were) Lucky ; Til Tuesday;(Believed You Were) Lucky by Til Tuesday.txt;flame obvious wish uphill push give simply alone embarrassing use worth greatembed keeper smart carry behind way happiness lovely great felt fate lucky wo belief burn door word without save lie could two address hop logical mind guess life believe acquiesce waste never leave wait appoint seem fuck must change think
(Between A) Rock And A Hard Place ; Cutting Crew;(Between A) Rock And A Hard Place by Cutting Crew.txt;pay placeyou bet brick riddle shelter rope window punch world beating line hard stop stoney catch light baby stock luck resistance though first heart middle start find always rock word knuckle roll money place slip finger nothin chance strip lyricsbetween never leave dealer barrel lay party face straight many watch better table ta lock think
(Its Just) The Way That You Love Me ; Paula Abdul;(Its Just) The Way That You Love Me by Paula Abdul.txt;rather right fortune fame ow ninety-foot throw break buy world top game material ring honey famous diamond guitar paula baby people way heat friend stay rome bahamas maserati thing huh girl french black hollywood money clothes wear weekend house place riviera brazil love crazy fly impress plane hill a-rocking monaco heavy party yacht night hat connection keep watch limousine trip home
(Youre My One And Only) True Love ; Seduction;(Youre My One And Only) True Love by Seduction.txt;symbol france give tyson number really last joy punch share world loveembed tight seduction surrender hold light guggenheim someone heaven real taste brought would abuse mean shadow great first heart new fire rest find around time together want priority ever statue oh-so two show love disappear life forever bring river lyricswhen likeit youre seem many blow feeling true arm think
18 And Life ; Skid Row;18 And Life by Skid Row.txt;stone accident bang-bang ricky whoa young live alone shoot crime motor world good trouble bone run bottle barely work tequila friend heart gun fire fight soldier adventure walk hear time burn five switchblade best money clean nine end marry could die away gasoline love street happen finger life vein eighteen never heartbeat hey school party boy town six-shot keep wind blow edge whoaembed child wild think home courtship
247 ; Dino;247 by Dino.txt;want need fall im leaveyou live leave tough cant lyricsim dream love
500 Miles ; Hooters;500 Miles by Hooters.txt;stop soon tide train five tank uh-uh-uh-uh-uh-uh mile penny name miss stand homeyou turn four home back hundred uh-uh-uh-uh-uh three shirt two square land away free blow along country hear day man lord whistle love
A Girl Like You ; The Smithereens;A Girl Like You by The Smithereens.txt;right goodbyeembed tone follow big exception reference really tough last heartbreak use little travel record london run anything remainder care lyricsthe hold win someone much people talk way almost call luck hertz shadow strange first hear walk wo find washington message time girl level nerve together want hell pride inside lose without except outside place stare everything else love operate believe waste never mistake anyone back seem mine anywhere man try wild think
A Little Respect ; Erasure;A Little Respect by Erasure.txt;meembed something give break live little hard work baby would call war heart discover blue hear lover reason religion forsake falter please sweet respect peace could drive love open forever refrain man soul arm try
A Shoulder To Cry On ; Tommy Page;A Shoulder To Cry On by Tommy Page.txt;whole onembed need likei give alone hope cause use thought world far hide hard lot distance lyricslife hold shoulder work carry continue painful way till hand friend head walk wrong wo matter firmly time always side inside feel everyone end ground everything love rely full nothing many cry feeling
Across The Miles ; Survivor;Across The Miles by Survivor.txt;distant pull eye sound midnight ticket alone road send voice thought radio city clear tight song hold wire reality trail concentrate mile laughter half way strange signal strong hear message girl always across feel tonight milesyou listen close sky tear path lyricswhen dream touch change home
